"filename", "language", "Database", "JSON", "Markdown", "toml", "Python", "JavaScript", "CSS", "HTML", "JavaScript JSX", "JSON with Comments", "C++", "pip requirements", "Log", "XML", "comment", "blank", "total"
"c:\Users\Minh\Documents\Uni\MasterThesis\Project\aicom-dt\Pipfile", "toml", 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 108
"c:\Users\Minh\Documents\Uni\MasterThesis\Project\aicom-dt\Pipfile.lock", "JSON", 0, 1462, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1463
"c:\Users\Minh\Documents\Uni\MasterThesis\Project\aicom-dt\README.md", "Markdown", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\Minh\Documents\Uni\MasterThesis\Project\aicom-dt\db.sqlite3", "Database", 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 129
"c:\Users\Minh\Documents\Uni\MasterThesis\Project\aicom-dt\digital_twin\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Minh\Documents\Uni\MasterThesis\Project\aicom-dt\digital_twin\asgi.py", "Python", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 17
"c:\Users\Minh\Documents\Uni\MasterThesis\Project\aicom-dt\digital_twin\celery.py", "Python", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Minh\Documents\Uni\MasterThesis\Project\aicom-dt\digital_twin\settings.py", "Python", 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 35, 164
"c:\Users\Minh\Documents\Uni\MasterThesis\Project\aicom-dt\digital_twin\urls.py", "Python", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 25
"c:\Users\Minh\Documents\Uni\MasterThesis\Project\aicom-dt\digital_twin\wsgi.py", "Python", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 17
"c:\Users\Minh\Documents\Uni\MasterThesis\Project\aicom-dt\frontend\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Minh\Documents\Uni\MasterThesis\Project\aicom-dt\frontend\admin.py", "Python", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\Minh\Documents\Uni\MasterThesis\Project\aicom-dt\frontend\apps.py", "Python", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\Minh\Documents\Uni\MasterThesis\Project\aicom-dt\frontend\babel.config.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
